货箱编号,架次编号,服务区,物资类型,时间窗类型,要求时刻（s）,交付完成时刻（s）,迟到（s）,应急优先系数,加权迟到
S001-MED-01,T001,S001,医疗物资,硬,3600.0,1248.8983708492733,0.0,24.0,0.0
S001-MED-02,T001,S001,医疗物资,硬,3600.0,1248.8983708492733,0.0,24.0,0.0
S001-WAT-01,T001,S001,饮用水,硬,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-02,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-03,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-04,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-05,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S010-FOD-01,T002,S010,应急食品,软,7200.0,1251.7555421881427,0.0,10.0,0.0
S010-MED-01,T002,S010,医疗物资,硬,3600.0,1251.7555421881427,0.0,24.0,0.0
S010-WAT-01,T002,S010,饮用水,硬,3600.0,1251.7555421881427,0.0,12.0,0.0
S013-FOD-01,T002,S013,应急食品,软,7200.0,1769.1524592239773,0.0,10.0,0.0
S013-MED-01,T002,S013,医疗物资,硬,3600.0,1769.1524592239773,0.0,24.0,0.0
S013-WAT-01,T002,S013,饮用水,硬,3600.0,1769.1524592239773,0.0,12.0,0.0
S014-FOD-01,T003,S014,应急食品,软,7200.0,1229.8266100022308,0.0,10.0,0.0
S014-MED-01,T003,S014,医疗物资,硬,3600.0,1229.8266100022308,0.0,22.0,0.0
S014-WAT-01,T003,S014,饮用水,硬,3600.0,1229.8266100022308,0.0,12.0,0.0
S007-FOD-01,T004,S007,应急食品,软,7200.0,1118.2975414250752,0.0,10.0,0.0
S007-MED-01,T004,S007,医疗物资,硬,3600.0,1118.2975414250752,0.0,24.0,0.0
S007-WAT-01,T004,S007,饮用水,硬,3600.0,1118.2975414250752,0.0,12.0,0.0
S007-WAT-02,T005,S007,饮用水,软,3600.0,1073.8613397248662,0.0,12.0,0.0
S008-HYG-01,T006,S008,生活卫生用品,软,14400.0,1304.4059355766767,0.0,6.0,0.0
S003-WAT-04,T007,S003,饮用水,软,7200.0,1349.1126655316918,0.0,10.0,0.0
S002-WAT-03,T008,S002,饮用水,软,3600.0,1227.4664675113036,0.0,12.0,0.0
S002-MED-01,T009,S002,医疗物资,硬,3600.0,3594.4814591043005,0.0,24.0,0.0
S002-WAT-01,T009,S002,饮用水,硬,3600.0,3594.4814591043005,0.0,12.0,0.0
S012-FOD-01,T009,S012,应急食品,软,7200.0,2986.058038744983,0.0,10.0,0.0
S012-MED-01,T009,S012,医疗物资,硬,3600.0,2986.058038744983,0.0,22.0,0.0
S012-WAT-01,T009,S012,饮用水,硬,3600.0,2986.058038744983,0.0,12.0,0.0
S008-FOD-01,T010,S008,应急食品,软,10800.0,2910.5631320113616,0.0,8.0,0.0
S008-MED-01,T010,S008,医疗物资,硬,7200.0,2910.5631320113616,0.0,20.0,0.0
S008-WAT-01,T010,S008,饮用水,硬,7200.0,2910.5631320113616,0.0,10.0,0.0
S003-FOD-02,T011,S003,应急食品,软,10800.0,3001.5553449814242,0.0,8.0,0.0
S009-FOD-01,T012,S009,应急食品,软,14400.0,2936.5197819446835,0.0,6.0,0.0
S009-MED-01,T012,S009,医疗物资,硬,10800.0,2936.5197819446835,0.0,16.0,0.0
S009-WAT-01,T012,S009,饮用水,硬,10800.0,2936.5197819446835,0.0,8.0,0.0
S011-WAT-01,T013,S011,饮用水,硬,10800.0,2785.0075327240434,0.0,8.0,0.0
S006-FOD-01,T014,S006,应急食品,软,7200.0,3386.509074861132,0.0,10.0,0.0
S006-MED-01,T014,S006,医疗物资,硬,3600.0,3386.509074861132,0.0,24.0,0.0
S006-WAT-01,T014,S006,饮用水,硬,3600.0,3386.509074861132,0.0,12.0,0.0
S006-WAT-02,T014,S006,饮用水,软,3600.0,3386.509074861132,0.0,12.0,0.0
S006-WAT-03,T014,S006,饮用水,软,3600.0,3386.509074861132,0.0,12.0,0.0
S002-WAT-04,T015,S002,饮用水,软,3600.0,3919.090912810303,319.09091281030305,12.0,3829.0909537236366
S002-HYG-01,T016,S002,生活卫生用品,软,10800.0,4511.032303286573,0.0,8.0,0.0
S002-FOD-02,T017,S002,应急食品,软,7200.0,4508.864836090563,0.0,10.0,0.0
S007-HYG-01,T018,S007,生活卫生用品,软,10800.0,4563.08909739531,0.0,8.0,0.0
S011-MED-01,T019,S011,医疗物资,硬,10800.0,4366.359916788148,0.0,16.0,0.0
S003-MED-01,T020,S003,医疗物资,硬,7200.0,5683.50117434116,0.0,20.0,0.0
S003-WAT-01,T020,S003,饮用水,硬,7200.0,5683.50117434116,0.0,10.0,0.0
S003-WAT-02,T020,S003,饮用水,软,7200.0,5683.50117434116,0.0,10.0,0.0
S015-FOD-01,T020,S015,应急食品,软,14400.0,5135.9455022916,0.0,6.0,0.0
S015-MED-01,T020,S015,医疗物资,硬,7200.0,5135.9455022916,0.0,18.0,0.0
S015-WAT-01,T020,S015,饮用水,硬,10800.0,5135.9455022916,0.0,8.0,0.0
S003-HYG-01,T021,S003,生活卫生用品,软,14400.0,5203.834009378142,0.0,6.0,0.0
S004-FOD-01,T022,S004,应急食品,软,10800.0,5804.175710146066,0.0,8.0,0.0
S004-HYG-01,T022,S004,生活卫生用品,软,14400.0,5804.175710146066,0.0,6.0,0.0
S004-MED-01,T022,S004,医疗物资,硬,7200.0,5804.175710146066,0.0,20.0,0.0
S004-WAT-01,T022,S004,饮用水,硬,7200.0,5804.175710146066,0.0,10.0,0.0
S004-WAT-02,T022,S004,饮用水,软,7200.0,5804.175710146066,0.0,10.0,0.0
S004-WAT-03,T022,S004,饮用水,软,7200.0,5804.175710146066,0.0,10.0,0.0
S003-WAT-03,T023,S003,饮用水,软,7200.0,5991.790045853299,0.0,10.0,0.0
S008-WAT-02,T024,S008,饮用水,软,7200.0,6152.298505547395,0.0,10.0,0.0
S002-WAT-02,T025,S002,饮用水,软,3600.0,6405.635004469398,2805.635004469398,12.0,33667.62005363278
S002-FOD-01,T026,S002,应急食品,软,7200.0,6642.150356448232,0.0,10.0,0.0
S003-FOD-01,T027,S003,应急食品,软,10800.0,7324.302946605961,0.0,8.0,0.0
S001-FOD-01,T028,S001,应急食品,软,7200.0,7011.048915287719,0.0,10.0,0.0
S005-FOD-01,T029,S005,应急食品,软,14400.0,7848.604411945399,0.0,6.0,0.0
S005-HYG-01,T029,S005,生活卫生用品,软,18000.0,7848.604411945399,0.0,4.0,0.0
S005-MED-01,T029,S005,医疗物资,硬,10800.0,7848.604411945399,0.0,16.0,0.0
S005-WAT-01,T029,S005,饮用水,硬,10800.0,7848.604411945399,0.0,8.0,0.0
S005-WAT-02,T029,S005,饮用水,软,10800.0,7848.604411945399,0.0,8.0,0.0
S005-WAT-03,T029,S005,饮用水,软,10800.0,7848.604411945399,0.0,8.0,0.0
S001-FOD-02,T030,S001,应急食品,软,7200.0,8018.993728279733,818.9937282797327,10.0,8189.9372827973275
S001-FOD-03,T030,S001,应急食品,软,7200.0,8018.993728279733,818.9937282797327,10.0,8189.9372827973275
S001-HYG-01,T030,S001,生活卫生用品,软,10800.0,8018.993728279733,0.0,8.0,0.0
S001-HYG-02,T030,S001,生活卫生用品,软,10800.0,8018.993728279733,0.0,8.0,0.0
S001-WAT-06,T030,S001,饮用水,软,3600.0,8018.993728279733,4418.993728279733,12.0,53027.92473935679
S001-WAT-07,T030,S001,饮用水,软,3600.0,8018.993728279733,4418.993728279733,12.0,53027.92473935679
S001-WAT-08,T030,S001,饮用水,软,3600.0,8018.993728279733,4418.993728279733,12.0,53027.92473935679
S006-HYG-01,T031,S006,生活卫生用品,软,10800.0,7644.846806264859,0.0,8.0,0.0
S011-FOD-01,T032,S011,应急食品,软,14400.0,8028.8175842694645,0.0,6.0,0.0
