架次编号,航段序号,起点,终点,航段前载荷（kg）,飞行时间（s）,能耗（kWh）
T001,1,O01,S001,76.0,306.8983708492734,1.9601246337014007
T001,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T002,1,O01,S010,50.0,483.7555421881428,2.143012373973304
T002,2,S010,S013,25.0,229.39691703583466,0.5246060779021682
T002,3,S013,O01,0.0,472.19378127654045,1.5027701935562658
T003,1,O01,S014,25.0,599.8266100022308,1.2994566089442985
T003,2,S014,O01,0.0,614.7132766688976,0.8282274961881697
T004,1,O01,S007,25.0,488.2975414250752,1.088438257715617
T004,2,S007,O01,0.0,503.01754142507525,0.6854100613214229
T005,1,O01,S007,14.0,563.8613397248662,1.0096874707231813
T005,2,S007,O01,0.0,578.5813397248662,0.8567109495242813
T006,1,O01,S008,6.0,794.4059355766766,1.5638496231038357
T006,2,S008,O01,0.0,803.9526022433433,1.4853130609937846
T007,1,O01,S003,14.0,839.1126655316918,1.5645668175887197
T007,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T008,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T008,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T009,1,O01,S012,42.0,686.6312970464363,2.989637001057979
T009,2,S012,S002,17.0,356.42342035931705,1.0422557741288374
T009,3,S002,O01,0.0,624.1315053078708,2.3120422144191712
T010,1,O01,S008,25.0,659.248049161211,1.800603577246332
T010,2,S008,O01,0.0,668.7947158278778,1.1822749221459787
T011,1,O01,S003,8.0,839.1126655316918,1.484240437949373
T011,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T012,1,O01,S009,25.0,461.979895273555,1.269375122245851
T012,2,S009,O01,0.0,468.799895273555,0.8330805219878701
T013,1,O01,S011,14.0,323.95459770143634,0.6067783179062017
T013,2,S011,O01,0.0,329.58126436810295,0.5291458936342845
T014,1,O01,S006,53.0,335.1628343606145,1.4912247086612622
T014,2,S006,O01,0.0,353.87283436061443,0.9929635708476683
T015,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T015,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T016,1,O01,S002,6.0,717.4664675113034,1.423366384404215
T016,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T017,1,O01,S002,8.0,593.5451588723239,1.1795042083145297
T017,2,S002,O01,0.0,599.665158872324,1.084745929746935
T018,1,O01,S007,6.0,563.8613397248662,0.9433560435842657
T018,2,S007,O01,0.0,578.5813397248662,0.8567109495242813
T019,1,O01,S011,3.0,277.0020689489095,0.45112905177475465
T019,2,S011,O01,0.0,282.62873561557615,0.4229332164781537
T020,1,O01,S015,56.0,627.5635930698536,2.916720301053208
T020,2,S015,S003,31.0,259.55567204956026,0.9318234093163228
T020,3,S003,O01,0.0,790.4454290562128,2.293252673547171
T021,1,O01,S003,6.0,839.1126655316918,1.463333041061237
T021,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T022,1,O01,S004,59.0,709.5627457338954,3.7486805181861502
T022,2,S004,O01,0.0,719.6227457338954,2.4282385117052105
T023,1,O01,S003,14.0,839.1126655316918,1.5645668175887197
T023,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T024,1,O01,S008,14.0,659.248049161211,1.4135404009779888
T024,2,S008,O01,0.0,668.7947158278778,1.1822749221459787
T025,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T025,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T026,1,O01,S002,8.0,593.5451588723239,1.1795042083145297
T026,2,S002,O01,0.0,599.665158872324,1.084745929746935
T027,1,O01,S003,8.0,839.1126655316918,1.484240437949373
T027,2,S003,O01,0.0,853.1659988650251,1.366153692052476
T028,1,O01,S001,8.0,339.3591246028516,0.6150377406090821
T028,2,S001,O01,0.0,343.11245793618485,0.5750078559236569
T029,1,O01,S005,59.0,498.6578085480262,2.57262420673899
T029,2,S005,O01,0.0,505.3878085480262,1.6661558339554692
T030,1,O01,S001,70.0,306.8983708492734,1.7623359856096514
T030,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T031,1,O01,S006,6.0,313.7535848895858,0.5372312248362603
T031,2,S006,O01,0.0,326.22691822291915,0.46762311429991965
T032,1,O01,S011,8.0,277.0020689489095,0.4740136352445264
T032,2,S011,O01,0.0,282.62873561557615,0.4229332164781537
