无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s)
U01,A,T005,0.0,2011.052935022607
U02,A,T006,0.0,1316.014946721035
U02,A,T010,1316.014946721035,3267.067881743642
U03,A,T007,0.0,1256.014946721035
U03,A,T009,1256.014946721035,3207.067881743642
U04,A,T008,0.0,1951.052935022607
U05,B,T003,0.0,1554.5722391614418
U05,B,T011,1554.5722391614418,3384.146340177451
U05,B,T015,3384.146340177451,5344.3891522286785
U05,B,T019,5344.3891522286785,7047.599469973326
U05,B,T022,7047.599469973326,8750.809787717975
U06,B,T004,0.0,1844.5398866711284
U06,B,T013,1844.5398866711284,3804.782698722356
U06,B,T016,3804.782698722356,5765.025510773584
U06,B,T020,5765.025510773584,7468.235828518232
U07,C,T001,0.0,1561.4267416985467
U07,C,T012,1561.4267416985467,4032.02556675078
U07,C,T017,4032.02556675078,6401.836424863206
U07,C,T021,6401.836424863206,8621.178274679662
U07,C,T024,8831.856665763979,10459.283407462524
U08,C,T002,0.0,2510.858533638403
U08,C,T014,2510.858533638403,4816.044025106194
U08,C,T018,4826.08401632532,7020.21307078381
U08,C,T023,7322.292929035104,9202.338546131155
