货箱编号,架次编号,服务区,物资类型,时间窗类型,要求时刻（s）,交付完成时刻（s）,迟到（s）,应急优先系数,加权迟到
S001-MED-01,T001,S001,医疗物资,硬,3600.0,1248.8983708492733,0.0,24.0,0.0
S001-MED-02,T001,S001,医疗物资,硬,3600.0,1248.8983708492733,0.0,24.0,0.0
S001-WAT-01,T001,S001,饮用水,硬,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-02,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-03,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-04,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S001-WAT-05,T001,S001,饮用水,软,3600.0,1248.8983708492733,0.0,12.0,0.0
S012-FOD-01,T002,S012,应急食品,软,7200.0,1809.0172365919668,0.0,10.0,0.0
S012-MED-01,T002,S012,医疗物资,硬,3600.0,1809.0172365919668,0.0,22.0,0.0
S012-WAT-01,T002,S012,饮用水,硬,3600.0,1809.0172365919668,0.0,12.0,0.0
S013-FOD-01,T002,S013,应急食品,软,7200.0,1217.7937812765404,0.0,10.0,0.0
S013-MED-01,T002,S013,医疗物资,硬,3600.0,1217.7937812765404,0.0,24.0,0.0
S013-WAT-01,T002,S013,饮用水,硬,3600.0,1217.7937812765404,0.0,12.0,0.0
S010-FOD-01,T003,S010,应急食品,软,7200.0,1084.8227862473875,0.0,10.0,0.0
S010-MED-01,T003,S010,医疗物资,硬,3600.0,1084.8227862473875,0.0,24.0,0.0
S010-WAT-01,T003,S010,饮用水,硬,3600.0,1084.8227862473875,0.0,12.0,0.0
S014-FOD-01,T004,S014,应急食品,软,7200.0,1229.8266100022308,0.0,10.0,0.0
S014-MED-01,T004,S014,医疗物资,硬,3600.0,1229.8266100022308,0.0,22.0,0.0
S014-WAT-01,T004,S014,饮用水,硬,3600.0,1229.8266100022308,0.0,12.0,0.0
S002-MED-01,T005,S002,医疗物资,硬,3600.0,1287.4664675113036,0.0,24.0,0.0
S002-WAT-01,T005,S002,饮用水,硬,3600.0,1287.4664675113036,0.0,12.0,0.0
S006-MED-01,T006,S006,医疗物资,硬,3600.0,936.7708066938508,0.0,24.0,0.0
S006-WAT-01,T006,S006,饮用水,硬,3600.0,936.7708066938508,0.0,12.0,0.0
S006-WAT-02,T007,S006,饮用水,软,3600.0,876.7708066938508,0.0,12.0,0.0
S002-WAT-02,T008,S002,饮用水,软,3600.0,1227.4664675113036,0.0,12.0,0.0
S002-WAT-03,T009,S002,饮用水,软,3600.0,2483.4814142323385,0.0,12.0,0.0
S002-WAT-04,T010,S002,饮用水,软,3600.0,2543.4814142323385,0.0,12.0,0.0
S015-FOD-01,T011,S015,应急食品,软,14400.0,2772.7992896694464,0.0,6.0,0.0
S015-MED-01,T011,S015,医疗物资,硬,7200.0,2772.7992896694464,0.0,18.0,0.0
S015-WAT-01,T011,S015,饮用水,硬,10800.0,2772.7992896694464,0.0,8.0,0.0
S006-FOD-01,T012,S006,应急食品,软,7200.0,2724.589576059161,0.0,10.0,0.0
S006-HYG-01,T012,S006,生活卫生用品,软,10800.0,2724.589576059161,0.0,8.0,0.0
S006-WAT-03,T012,S006,饮用水,软,3600.0,2724.589576059161,0.0,12.0,0.0
S007-FOD-01,T012,S007,应急食品,软,7200.0,3481.372946183452,0.0,10.0,0.0
S007-HYG-01,T012,S007,生活卫生用品,软,10800.0,3481.372946183452,0.0,8.0,0.0
S007-MED-01,T012,S007,医疗物资,硬,3600.0,3481.372946183452,0.0,24.0,0.0
S007-WAT-01,T012,S007,饮用水,硬,3600.0,3481.372946183452,0.0,12.0,0.0
S007-WAT-02,T012,S007,饮用水,软,3600.0,3481.372946183452,0.0,12.0,0.0
S003-HYG-01,T013,S003,生活卫生用品,软,14400.0,3072.6346260300757,0.0,6.0,0.0
S004-FOD-01,T014,S004,应急食品,软,10800.0,4096.421279372298,0.0,8.0,0.0
S004-HYG-01,T014,S004,生活卫生用品,软,14400.0,4096.421279372298,0.0,6.0,0.0
S004-MED-01,T014,S004,医疗物资,硬,7200.0,4096.421279372298,0.0,20.0,0.0
S004-WAT-01,T014,S004,饮用水,硬,7200.0,4096.421279372298,0.0,10.0,0.0
S004-WAT-02,T014,S004,饮用水,软,7200.0,4096.421279372298,0.0,10.0,0.0
S004-WAT-03,T014,S004,饮用水,软,7200.0,4096.421279372298,0.0,10.0,0.0
S003-FOD-02,T015,S003,应急食品,软,10800.0,4612.241079536398,0.0,8.0,0.0
S003-FOD-01,T016,S003,应急食品,软,10800.0,5032.877438081303,0.0,8.0,0.0
S003-MED-01,T017,S003,医疗物资,硬,7200.0,5611.390995806993,0.0,20.0,0.0
S003-WAT-01,T017,S003,饮用水,硬,7200.0,5611.390995806993,0.0,10.0,0.0
S003-WAT-02,T017,S003,饮用水,软,7200.0,5611.390995806993,0.0,10.0,0.0
S003-WAT-03,T017,S003,饮用水,软,7200.0,5611.390995806993,0.0,10.0,0.0
S003-WAT-04,T017,S003,饮用水,软,7200.0,5611.390995806993,0.0,10.0,0.0
S008-FOD-01,T018,S008,应急食品,软,10800.0,6320.988543554565,0.0,8.0,0.0
S008-HYG-01,T018,S008,生活卫生用品,软,14400.0,6320.988543554565,0.0,6.0,0.0
S008-MED-01,T018,S008,医疗物资,硬,7200.0,6320.988543554565,0.0,20.0,0.0
S008-WAT-01,T018,S008,饮用水,硬,7200.0,6320.988543554565,0.0,10.0,0.0
S008-WAT-02,T018,S008,饮用水,软,7200.0,6320.988543554565,0.0,10.0,0.0
S002-FOD-01,T019,S002,应急食品,软,7200.0,6447.934311101002,0.0,10.0,0.0
S002-FOD-02,T020,S002,应急食品,软,7200.0,6868.570669645907,0.0,10.0,0.0
S009-FOD-01,T021,S009,应急食品,软,14400.0,7649.17447219568,0.0,6.0,0.0
S009-MED-01,T021,S009,医疗物资,硬,10800.0,7649.17447219568,0.0,16.0,0.0
S009-WAT-01,T021,S009,饮用水,硬,10800.0,7649.17447219568,0.0,8.0,0.0
S011-FOD-01,T021,S011,应急食品,软,14400.0,8316.23257983557,0.0,6.0,0.0
S011-MED-01,T021,S011,医疗物资,硬,10800.0,8316.23257983557,0.0,16.0,0.0
S011-WAT-01,T021,S011,饮用水,硬,10800.0,8316.23257983557,0.0,8.0,0.0
S002-HYG-01,T022,S002,生活卫生用品,软,10800.0,8151.14462884565,0.0,8.0,0.0
S005-FOD-01,T023,S005,应急食品,软,14400.0,8696.95073758313,0.0,6.0,0.0
S005-HYG-01,T023,S005,生活卫生用品,软,18000.0,8696.95073758313,0.0,4.0,0.0
S005-MED-01,T023,S005,医疗物资,硬,10800.0,8696.95073758313,0.0,16.0,0.0
S005-WAT-01,T023,S005,饮用水,硬,10800.0,8696.95073758313,0.0,8.0,0.0
S005-WAT-02,T023,S005,饮用水,软,10800.0,8696.95073758313,0.0,8.0,0.0
S005-WAT-03,T023,S005,饮用水,软,10800.0,8696.95073758313,0.0,8.0,0.0
S001-FOD-01,T024,S001,应急食品,软,7200.0,10146.755036613253,2946.7550366132527,10.0,29467.550366132527
S001-FOD-02,T024,S001,应急食品,软,7200.0,10146.755036613253,2946.7550366132527,10.0,29467.550366132527
S001-FOD-03,T024,S001,应急食品,软,7200.0,10146.755036613253,2946.7550366132527,10.0,29467.550366132527
S001-HYG-01,T024,S001,生活卫生用品,软,10800.0,10146.755036613253,0.0,8.0,0.0
S001-HYG-02,T024,S001,生活卫生用品,软,10800.0,10146.755036613253,0.0,8.0,0.0
S001-WAT-06,T024,S001,饮用水,软,3600.0,10146.755036613253,6546.755036613253,12.0,78561.06043935903
S001-WAT-07,T024,S001,饮用水,软,3600.0,10146.755036613253,6546.755036613253,12.0,78561.06043935903
S001-WAT-08,T024,S001,饮用水,软,3600.0,10146.755036613253,6546.755036613253,12.0,78561.06043935903
