无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s)
U01,A,T005,0.0,2011.052935022607
U02,A,T006,0.0,1316.014946721035
U05,B,T003,0.0,1554.5722391614418
U05,B,T007,1554.5722391614418,3384.146340177451
U06,B,T004,0.0,1844.5398866711284
U07,C,T001,0.0,1561.4267416985467
U07,C,T008,1561.4267416985467,4032.02556675078
U07,C,T010,4032.02556675078,6401.836424863206
U07,C,T012,6401.836424863206,8621.178274679662
U07,C,T014,8831.856665763979,10459.283407462524
U07,C,T016,10772.189166177104,13443.325477001623
U08,C,T002,0.0,2510.858533638403
U08,C,T009,2510.858533638403,4816.044025106194
U08,C,T011,4826.08401632532,7020.21307078381
U08,C,T013,7322.292929035104,9202.338546131155
U08,C,T015,9438.938357336194,11554.021367951937
