电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T005,0.0,2011.052935022607,0.34878237926219746,1346.5829069591434,3357.6358419817507
A-BAT-02,A,T006,0.0,1316.014946721035,0.7086749224675517,878.7226007921828,2194.7375475132176
B-BAT-01,B,T003,0.0,1554.5722391614418,0.5447381788009044,1455.787156745099,3010.359395906541
B-BAT-02,B,T004,0.0,1844.5398866711284,0.4680789737168829,1588.6631122240697,3433.202998895198
B-BAT-03,B,T007,1554.5722391614418,3384.146340177451,0.42227360925822466,1668.059077285744,5052.205417463195
C-BAT-01,C,T001,0.0,1561.4267416985467,0.6342158942704362,1625.865562414055,3187.2923041126014
C-BAT-01,C,T010,4032.02556675078,6401.836424863206,0.2630675811227201,2430.020240900773,8831.856665763979
C-BAT-01,C,T014,8831.856665763979,10459.283407462524,0.6244127637498618,1647.1056785419662,12106.38908600449
C-BAT-02,C,T002,0.0,2510.858533638403,0.31604977722142324,2315.225482686916,4826.08401632532
C-BAT-02,C,T011,4826.08401632532,7020.21307078381,0.2682806369758226,2418.725286552384,9438.938357336194
C-BAT-02,C,T015,9438.938357336194,11554.021367951937,0.23415324666886073,2492.6679655508015,14046.689333502738
C-BAT-03,C,T008,1561.4267416985467,4032.02556675078,0.4336257538040128,2060.4775334246388,6092.503100175419
C-BAT-03,C,T012,6401.836424863206,8621.178274679662,0.3918411270011801,2151.010891497443,10772.189166177104
C-BAT-03,C,T016,10772.189166177104,13443.325477001623,0.3152639974507617,2316.92800552335,15760.253482524973
C-BAT-04,C,T009,2510.858533638403,4816.044025106194,0.22788512126357996,2506.2489039289103,7322.292929035104
C-BAT-04,C,T013,7322.292929035104,9202.338546131155,0.47015249491319255,1981.336261021416,11183.67480715257
