编号,普通物资加权迟到,完工时间（s）,能耗（kWh）,架次数,理想点距离
1,21577.13691022517,9347.890614376678,95.73613094990642,39.0,0.7138169191278434
2,23136.602562978595,9184.092045679376,95.73613094990642,39.0,0.7117948135605401
3,25403.129513036034,8806.338546131155,93.38581098474432,36.0,0.6357395505415292
4,34047.31810041636,9202.338546131155,92.34616211010592,37.0,0.642810150811016
5,44588.41725794718,9269.823027618411,91.81028921477434,37.0,0.6378164727357816
6,54310.77975258581,9136.338546131155,83.92515842056714,31.0,0.4551760588218313
7,62907.41964903053,8747.296919018538,94.87144108476762,36.0,0.6536956908518518
8,62907.41964903053,8922.132317678479,88.85318199062046,33.0,0.5392162854570456
9,154786.9667937596,8866.964553039068,94.74089398558466,35.0,0.6436877856455653
10,189326.70102700964,9040.777435227661,87.39763859690434,36.0,0.5809137755657291
11,193936.09990562926,8629.992847992708,90.64122220015832,33.0,0.5684360386857691
12,196936.1644768078,8478.23631188348,91.66745103926837,34.0,0.5947491342281547
13,199161.26680702003,8403.844072976015,87.15531424658563,30.0,0.484800764315377
14,203769.99738480686,8363.968455081584,90.64122220015832,33.0,0.5690260335354909
15,207535.90133619265,8403.844072976015,88.07427877563462,29.0,0.4842667182306874
16,207535.90133619265,8435.945202155694,87.48331947509915,29.0,0.476885739718068
17,207535.90133619265,8677.666399373582,86.88555992197603,29.0,0.47046581166784596
18,207535.90133619265,10396.18801420692,86.34968702664443,29.0,0.5044225313999899
19,207535.90133619265,10637.909211424809,85.81381413131285,29.0,0.5084769868335779
20,212960.35979102144,8353.992220493426,88.96246567298489,32.0,0.5361936263945692
21,225725.5901749376,8397.522099129006,88.0486337687085,31.0,0.513342314456301
22,226904.78350983764,9425.772643267344,81.69566954393002,33.0,0.4879994457954396
23,238396.77197711563,10327.283407462524,78.86241380833518,26.0,0.39289320505440345
24,305652.66433342383,11150.60288500173,77.89087123812094,30.0,0.49431173503529324
25,324085.83241647464,10459.283407462524,77.0820900316575,24.0,0.38506195318468067
26,404212.54016790335,12110.074668160712,70.32250438563185,23.0,0.47505736592307835
27,468743.7633146374,10327.283407462524,76.5560791226186,25.0,0.43764954711281906
28,477455.7633146374,10459.283407462524,74.16357924280116,23.0,0.4143578462192672
29,525440.0682199468,10591.189686660524,73.9412362559213,23.0,0.4412732899291103
30,574345.7231863358,11554.021367951937,71.00406530289683,23.0,0.5045000900454956
31,628667.1659602721,12110.074668160712,71.86679220426555,22.0,0.5603806750469242
32,654605.4252162711,11411.981376732809,72.34313581926833,21.0,0.5269366131858041
33,663598.7836256948,11554.021367951937,67.57411264470886,19.0,0.5204862689740201
34,713128.028421761,13377.325477001623,66.4733527576104,18.0,0.6623764354757282
35,800665.08886112,13443.325477001623,65.06949193957726,16.0,0.7033215030538092
36,809119.6336445275,13207.259424883103,65.93170400211329,17.0,0.6913869063952216
