偏好,随机种子,迭代次数,运行时间（s）,停止原因,硬违约数,硬总迟到（s）,普通物资加权迟到,完工时间（s）,能耗（kWh）,架次数
及时性优先,20260924,676,7.173134833996301,连续无改进上限,0,0.0,43588.40765392618,9905.496728457436,97.75562913909236,38
及时性优先,20260925,800,13.010520000010729,最大迭代数,0,0.0,95588.34383149561,10619.30135613164,114.62050966828681,44
及时性优先,20260926,553,8.643655374995433,连续无改进上限,0,0.0,143299.86416250293,11710.613969205308,118.77181410207515,49
及时性优先,20260927,478,4.768629625003086,连续无改进上限,0,0.0,41969.33869104094,8825.752227121146,94.87144108476762,36
完工时间优先,20360927,317,4.668699250003556,连续无改进上限,0,0.0,329230.98507993406,10396.650371222377,103.84170366275818,40
完工时间优先,20360928,321,4.875049499998568,连续无改进上限,0,0.0,217785.91955396725,8731.992351882816,94.74089398558466,35
完工时间优先,20360929,800,11.533602750001592,最大迭代数,0,0.0,212960.35979102144,8353.992220493426,88.96246567298489,32
完工时间优先,20360930,320,3.8374070419959025,连续无改进上限,0,0.0,250311.24933471042,9030.520307038805,95.41375533343425,34
能耗优先,20460930,300,4.034996791000594,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
能耗优先,20460931,300,3.7777213329973165,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
能耗优先,20460932,300,3.445718000002671,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
能耗优先,20460933,300,4.283893917003297,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
最少架次优先,20560933,300,2.8114858329936396,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
最少架次优先,20560934,300,4.104558207996888,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
最少架次优先,20560935,300,3.9804489169910084,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
最少架次优先,20560936,300,4.838425708992872,连续无改进上限,0,0.0,800665.08886112,13443.325477001623,65.06949193957726,16
