电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T005,0.0,2011.052935022607,0.34878237926219746,1346.5829069591434,3357.6358419817507
A-BAT-02,A,T006,0.0,1316.014946721035,0.7086749224675517,878.7226007921828,2194.7375475132176
A-BAT-03,A,T007,0.0,1256.014946721035,0.7137146159072952,872.1709993205162,2128.1859460415512
A-BAT-04,A,T008,0.0,1951.052935022607,0.3596054609594903,1332.5129007526625,3283.5658357752695
A-BAT-05,A,T009,1256.014946721035,3207.067881743642,0.3596054609594903,1332.5129007526625,4539.580782496305
A-BAT-06,A,T010,1316.014946721035,3267.067881743642,0.3596054609594903,1332.5129007526625,4599.580782496305
B-BAT-01,B,T003,0.0,1554.5722391614418,0.5447381788009044,1455.787156745099,3010.359395906541
B-BAT-01,B,T015,3384.146340177451,5344.3891522286785,0.4213696913324343,1669.6258683571139,7014.015020585793
B-BAT-01,B,T022,7047.599469973326,8750.809787717975,0.44035453161298155,1636.718811870832,10387.528599588808
B-BAT-02,B,T004,0.0,1844.5398866711284,0.4680789737168829,1588.6631122240697,3433.202998895198
B-BAT-02,B,T016,3804.782698722356,5765.025510773584,0.4213696913324343,1669.6258683571139,7434.651379130698
B-BAT-03,B,T011,1554.5722391614418,3384.146340177451,0.42227360925822466,1668.059077285744,5052.205417463195
B-BAT-03,B,T019,5344.3891522286785,7047.599469973326,0.43393746548463374,1647.8417264933016,8695.441196466629
B-BAT-04,B,T013,1844.5398866711284,3804.782698722356,0.4281187463380821,1657.9275063473242,5462.71020506968
B-BAT-04,B,T020,5765.025510773584,7468.235828518232,0.43393746548463374,1647.8417264933016,9116.077555011534
C-BAT-01,C,T001,0.0,1561.4267416985467,0.6342158942704362,1625.865562414055,3187.2923041126014
C-BAT-01,C,T017,4032.02556675078,6401.836424863206,0.2630675811227201,2430.020240900773,8831.856665763979
C-BAT-01,C,T024,8831.856665763979,10459.283407462524,0.6244127637498618,1647.1056785419662,12106.38908600449
C-BAT-02,C,T002,0.0,2510.858533638403,0.31604977722142324,2315.225482686916,4826.08401632532
C-BAT-02,C,T018,4826.08401632532,7020.21307078381,0.2682806369758226,2418.725286552384,9438.938357336194
C-BAT-03,C,T012,1561.4267416985467,4032.02556675078,0.4336257538040128,2060.4775334246388,6092.503100175419
C-BAT-03,C,T021,6401.836424863206,8621.178274679662,0.3918411270011801,2151.010891497443,10772.189166177104
C-BAT-04,C,T014,2510.858533638403,4816.044025106194,0.22788512126357996,2506.2489039289103,7322.292929035104
C-BAT-04,C,T023,7322.292929035104,9202.338546131155,0.47015249491319255,1981.336261021416,11183.67480715257
