架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651,0.6342158942704362
T002,U08,C,C-BAT-02,0.0,S013->S012,2510.858533638403,5.471601782228614,0.31604977722142324
T003,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826,0.5447381788009044
T004,U06,B,B-BAT-02,0.0,S014,1844.5398866711284,2.1276841051324684,0.4680789737168829
T005,U01,A,A-BAT-01,0.0,S002,2011.052935022607,2.9304792933201114,0.34878237926219746
T006,U02,A,A-BAT-02,0.0,S006,1316.014946721035,1.3109628488960174,0.7086749224675517
T007,U03,A,A-BAT-03,0.0,S006,1256.014946721035,1.2882842284171714,0.7137146159072952
T008,U04,A,A-BAT-04,0.0,S002,1951.052935022607,2.8817754256822936,0.3596054609594903
T009,U03,A,A-BAT-05,1256.014946721035,S002,3207.067881743642,2.8817754256822936,0.3596054609594903
T010,U02,A,A-BAT-06,1316.014946721035,S002,3267.067881743642,2.8817754256822936,0.3596054609594903
T011,U05,B,B-BAT-03,1554.5722391614418,S015,3384.146340177451,2.3109055629671014,0.42227360925822466
T012,U07,C,C-BAT-03,1561.4267416985467,S006->S007,4032.02556675078,4.530993969567898,0.4336257538040128
T013,U06,B,B-BAT-04,1844.5398866711284,S003,3804.782698722356,2.2875250146476716,0.4281187463380821
T014,U08,C,C-BAT-04,2510.858533638403,S004,4816.044025106194,6.17691902989136,0.22788512126357996
T015,U05,B,B-BAT-01,3384.146340177451,S003,5344.3891522286785,2.314521234670263,0.4213696913324343
T016,U06,B,B-BAT-02,3804.782698722356,S003,5765.025510773584,2.314521234670263,0.4213696913324343
T017,U07,C,C-BAT-01,4032.02556675078,S003,6401.836424863206,5.895459351018239,0.2630675811227201
T018,U08,C,C-BAT-02,4826.08401632532,S008,7020.21307078381,5.853754904193419,0.2682806369758226
T019,U05,B,B-BAT-03,5344.3891522286785,S002,7047.599469973326,2.264250138061465,0.43393746548463374
T020,U06,B,B-BAT-04,5765.025510773584,S002,7468.235828518232,2.264250138061465,0.43393746548463374
T021,U07,C,C-BAT-03,6401.836424863206,S009->S011,8621.178274679662,4.865270983990559,0.3918411270011801
T022,U05,B,B-BAT-01,7047.599469973326,S002,8750.809787717975,2.238581873548074,0.44035453161298155
T023,U08,C,C-BAT-04,7322.292929035104,S005,9202.338546131155,4.23878004069446,0.47015249491319255
T024,U07,C,C-BAT-01,8831.856665763979,S001,10459.283407462524,3.004697890001106,0.6244127637498618
