架次编号,航段序号,起点,终点,航段前载荷（kg）,飞行时间（s）,能耗（kWh）
T001,1,O01,S001,76.0,306.8983708492734,1.9601246337014007
T001,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
T002,1,O01,S013,50.0,449.79378127654047,2.15301000999704
T002,2,S013,S012,25.0,303.2234553154265,1.0031797811067087
T002,3,S012,O01,0.0,701.8412970464362,2.3154119911248654
T003,1,O01,S010,25.0,454.82278624738757,1.1177394417806361
T003,2,S010,O01,0.0,469.74945291405425,0.7033078430157463
T004,1,O01,S014,25.0,599.8266100022308,1.2994566089442985
T004,2,S014,O01,0.0,614.7132766688976,0.8282274961881697
T005,1,O01,S002,17.0,717.4664675113034,1.567830238497629
T005,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T006,1,O01,S006,17.0,366.7708066938507,0.7241724700494112
T006,2,S006,O01,0.0,379.2441400271841,0.5867903788466062
T007,1,O01,S006,14.0,366.7708066938507,0.701493849570565
T007,2,S006,O01,0.0,379.2441400271841,0.5867903788466062
T008,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T008,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T009,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T009,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T010,1,O01,S002,14.0,717.4664675113034,1.519126370859811
T010,2,S002,O01,0.0,723.5864675113035,1.3626490548224826
T011,1,O01,S015,25.0,588.2270505080047,1.4270958492368189
T011,2,S015,O01,0.0,611.3470505080047,0.8838097137302824
T012,1,O01,S006,73.0,335.1628343606145,1.9747063769228224
T012,2,S006,S007,45.0,396.78337012429097,1.1206997274725634
T012,3,S007,O01,0.0,550.6526205673279,1.435587865172512
T013,1,O01,S003,6.0,718.0947393589472,1.195294135879229
T013,2,S003,O01,0.0,732.1480726922805,1.0922308787684425
T014,1,O01,S004,59.0,709.5627457338954,3.7486805181861502
T014,2,S004,O01,0.0,719.6227457338954,2.4282385117052105
T015,1,O01,S003,8.0,718.0947393589472,1.2222903559018206
T015,2,S003,O01,0.0,732.1480726922805,1.0922308787684425
T016,1,O01,S003,8.0,718.0947393589472,1.2222903559018206
T016,2,S003,O01,0.0,732.1480726922805,1.0922308787684425
T017,1,O01,S003,59.0,769.3654290562129,3.6022066774710684
T017,2,S003,O01,0.0,790.4454290562128,2.293252673547171
T018,1,O01,S008,45.0,684.9045272292449,3.3329610807440226
T018,2,S008,O01,0.0,699.2245272292449,2.5207938234493965
T019,1,O01,S002,8.0,593.5451588723239,1.1795042083145297
T019,2,S002,O01,0.0,599.665158872324,1.084745929746935
T020,1,O01,S002,8.0,593.5451588723239,1.1795042083145297
T020,2,S002,O01,0.0,599.665158872324,1.084745929746935
T021,1,O01,S009,50.0,479.3380473324743,2.4742452052369175
T021,2,S009,S011,25.0,379.0581076398898,1.5021827924769628
T021,3,S011,O01,0.0,304.9456948440918,0.888842986276678
T022,1,O01,S002,6.0,593.5451588723239,1.1538359438011385
T022,2,S002,O01,0.0,599.665158872324,1.084745929746935
T023,1,O01,S005,59.0,498.6578085480262,2.57262420673899
T023,2,S005,O01,0.0,505.3878085480262,1.6661558339554692
T024,1,O01,S001,78.0,306.8983708492734,2.0385496778659964
T024,2,S001,O01,0.0,312.5283708492734,0.9661482121351093
