电池编号,机型,架次编号,任务开始（s）,返航时刻（s）,返航SOC,充电时长（s）,充至100%时刻（s）
A-BAT-01,A,T005,0.0,2221.4616726129198,0.32769411005944804,1373.9976569227176,3595.459329535637
A-BAT-01,A,T020,4232.514607635527,6494.793272032244,0.3149420977701022,1390.575272898867,7885.3685449311115
A-BAT-02,A,T006,0.0,2785.580912827795,0.21772316164655592,1516.9598898594775,4302.540802687273
A-BAT-02,A,T021,4302.540802687273,6504.819467083989,0.3487287756352898,1346.6525916741234,7851.472058758112
A-BAT-03,A,T007,0.0,2011.052935022607,0.34878237926219746,1346.5829069591434,3357.6358419817507
A-BAT-03,A,T016,3357.6358419817507,5053.395167225513,0.5107868083823002,1135.9771491030099,6189.372316328523
A-BAT-04,A,T008,0.0,2011.052935022607,0.3267643118443212,1375.2063946023825,3386.2593296249897
A-BAT-04,A,T017,3386.2593296249897,5880.447057345155,0.2739086436483493,1443.9187632571459,7324.365820602301
A-BAT-05,A,T013,2011.052935022607,4232.514607635527,0.33192302840642063,1368.5000630716531,5601.01467070718
A-BAT-06,A,T014,2011.052935022607,4273.3315994193235,0.33751615604404317,1361.228997142744,5634.560596562067
B-BAT-01,B,T003,0.0,1554.5722391614418,0.5447381788009044,1455.787156745099,3010.359395906541
B-BAT-01,B,T018,3399.11212583257,5567.47742383357,0.32267270173900275,1840.7006503190619,7408.178074152633
B-BAT-02,B,T004,0.0,1500.9702855348519,0.5448006822497418,1455.6788174337808,2956.6491029686326
B-BAT-02,B,T019,3444.996092111448,5274.570193127457,0.42227360925822466,1668.059077285744,6942.629270413201
B-BAT-03,B,T009,1500.9702855348519,3444.996092111448,0.30916820250436894,1864.1084489924274,5309.104541103876
B-BAT-04,B,T010,1554.5722391614418,3399.11212583257,0.4680789737168829,1588.6631122240697,4987.77523805664
B-BAT-04,B,T023,5274.570193127457,6464.200997691943,0.7307068411984088,1133.4414752560915,7597.642472948034
C-BAT-01,C,T001,0.0,1561.4267416985467,0.6342158942704362,1625.865562414055,3187.2923041126014
C-BAT-01,C,T015,3192.4624104197756,5778.253130274187,0.20456327618903303,2556.779568257095,8335.032698531282
C-BAT-02,C,T002,0.0,1565.0356687212288,0.6755346129347195,1536.3416719747743,3101.377340696003
C-BAT-02,C,T022,4315.058956837352,6443.1880112958415,0.2799562047964098,2393.428222941112,8836.616234236953
C-BAT-03,C,T011,1561.4267416985467,4315.058956837352,0.23807714663380164,2484.1661822934298,6799.225139130782
C-BAT-04,C,T012,1565.0356687212288,3192.4624104197756,0.6244127637498618,1647.1056785419662,4839.5680889617415
