架次编号,无人机编号,机型,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC
T001,U07,C,C-BAT-01,0.0,S001,1561.4267416985467,2.92627284583651,0.6342158942704362
T002,U08,C,C-BAT-02,0.0,S006,1565.0356687212288,2.595723096522244,0.6755346129347195
T003,U05,B,B-BAT-01,0.0,S010,1554.5722391614418,1.8210472847963826,0.5447381788009044
T004,U06,B,B-BAT-02,0.0,S013,1500.9702855348519,1.8207972710010332,0.5448006822497418
T005,U01,A,A-BAT-01,0.0,S009->S002,2221.4616726129198,3.025376504732484,0.32769411005944804
T006,U02,A,A-BAT-02,0.0,S009->S002->S004,2785.580912827795,3.5202457725904983,0.21772316164655592
T007,U03,A,A-BAT-03,0.0,S002,2011.052935022607,2.9304792933201114,0.34878237926219746
T008,U04,A,A-BAT-04,0.0,S002,2011.052935022607,3.0295605967005548,0.3267643118443212
T009,U06,B,B-BAT-03,1500.9702855348519,S012,3444.996092111448,2.7633271899825242,0.30916820250436894
T010,U05,B,B-BAT-04,1554.5722391614418,S014,3399.11212583257,2.1276841051324684,0.4680789737168829
T011,U07,C,C-BAT-03,1561.4267416985467,S007->S003,4315.058956837352,6.095382826929587,0.23807714663380164
T012,U08,C,C-BAT-04,1565.0356687212288,S001,3192.4624104197756,3.004697890001106,0.6244127637498618
T013,U03,A,A-BAT-05,2011.052935022607,S009->S002,4232.514607635527,3.006346372171107,0.33192302840642063
T014,U04,A,A-BAT-06,2011.052935022607,S003,4273.3315994193235,2.9811772978018056,0.33751615604404317
T015,U08,C,C-BAT-01,3192.4624104197756,S005->S004,5778.253130274187,6.363493790487736,0.20456327618903303
T016,U01,A,A-BAT-03,3357.6358419817507,S005,5053.395167225513,2.2014593622796492,0.5107868083823002
T017,U02,A,A-BAT-04,3386.2593296249897,S005->S008,5880.447057345155,3.267411103582428,0.2739086436483493
T018,U05,B,B-BAT-01,3399.11212583257,S005->S002,5567.47742383357,2.709309193043989,0.32267270173900275
T019,U06,B,B-BAT-02,3444.996092111448,S015,5274.570193127457,2.3109055629671014,0.42227360925822466
T020,U03,A,A-BAT-01,4232.514607635527,S003,6494.793272032244,3.08276056003454,0.3149420977701022
T021,U04,A,A-BAT-02,4302.540802687273,S003,6504.819467083989,2.930720509641196,0.3487287756352898
T022,U07,C,C-BAT-02,4315.058956837352,S008,6443.1880112958415,5.7603503616287215,0.2799562047964098
T023,U06,B,B-BAT-04,5274.570193127457,S011,6464.200997691943,1.0771726352063646,0.7307068411984088
