货箱编号,架次编号,服务区,物资类型,要求时刻（s）,交付完成时刻（s）,松弛量（s）,是否按时
S001-MED-01,T001,S001,医疗物资,3600.0,1248.8983708492733,2351.1016291507267,是
S001-MED-02,T001,S001,医疗物资,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-02,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-04,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-06,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-07,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S001-WAT-08,T001,S001,饮用水,3600.0,1248.8983708492733,2351.1016291507267,是
S006-FOD-01,T002,S006,应急食品,7200.0,1211.1628343606144,5988.837165639386,是
S006-HYG-01,T002,S006,生活卫生用品,10800.0,1211.1628343606144,9588.837165639387,是
S006-MED-01,T002,S006,医疗物资,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-01,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-02,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S006-WAT-03,T002,S006,饮用水,3600.0,1211.1628343606144,2388.8371656393856,是
S010-FOD-01,T003,S010,应急食品,7200.0,1084.8227862473875,6115.177213752612,是
S010-MED-01,T003,S010,医疗物资,3600.0,1084.8227862473875,2515.1772137526123,是
S010-WAT-01,T003,S010,饮用水,3600.0,1084.8227862473875,2515.1772137526123,是
S013-FOD-01,T004,S013,应急食品,7200.0,1058.0184761007592,6141.9815238992405,是
S013-MED-01,T004,S013,医疗物资,3600.0,1058.0184761007592,2541.9815238992405,是
S013-WAT-01,T004,S013,饮用水,3600.0,1058.0184761007592,2541.9815238992405,是
S002-WAT-01,T005,S002,饮用水,3600.0,1497.8752051016165,2102.1247948983837,是
S009-FOD-01,T005,S009,应急食品,14400.0,1097.3579018271325,13302.642098172868,是
S002-WAT-02,T006,S002,饮用水,3600.0,1527.8752051016165,2072.1247948983837,是
S004-MED-01,T006,S004,医疗物资,7200.0,1975.2469874455007,5224.753012554499,是
S009-MED-01,T006,S009,医疗物资,10800.0,1127.3579018271325,9672.642098172868,是
S002-MED-01,T007,S002,医疗物资,3600.0,1287.4664675113036,2312.5335324886964,是
S002-WAT-03,T007,S002,饮用水,3600.0,1287.4664675113036,2312.5335324886964,是
S002-FOD-01,T008,S002,应急食品,7200.0,1287.4664675113036,5912.533532488696,是
S002-WAT-04,T008,S002,饮用水,3600.0,1287.4664675113036,2312.5335324886964,是
S012-FOD-01,T009,S012,应急食品,7200.0,2782.91318882315,4417.0868111768505,是
S012-MED-01,T009,S012,医疗物资,3600.0,2782.91318882315,817.08681117685,是
S012-WAT-01,T009,S012,饮用水,3600.0,2782.91318882315,817.08681117685,是
S014-FOD-01,T010,S014,应急食品,7200.0,2784.398849163673,4415.601150836327,是
S014-MED-01,T010,S014,医疗物资,3600.0,2784.398849163673,815.6011508363272,是
S014-WAT-01,T010,S014,饮用水,3600.0,2784.398849163673,815.6011508363272,是
S003-FOD-02,T011,S003,应急食品,10800.0,3524.613527781139,7275.386472218861,是
S003-HYG-01,T011,S003,生活卫生用品,14400.0,3524.613527781139,10875.386472218861,是
S003-WAT-04,T011,S003,饮用水,7200.0,3524.613527781139,3675.386472218861,是
S007-FOD-01,T011,S007,应急食品,7200.0,2989.9993622658744,4210.000637734125,是
S007-HYG-01,T011,S007,生活卫生用品,10800.0,2989.9993622658744,7810.000637734125,是
S007-MED-01,T011,S007,医疗物资,3600.0,2989.9993622658744,610.0006377341256,是
S007-WAT-01,T011,S007,饮用水,3600.0,2989.9993622658744,610.0006377341256,是
S007-WAT-02,T011,S007,饮用水,3600.0,2989.9993622658744,610.0006377341256,是
S001-FOD-01,T012,S001,应急食品,7200.0,2879.934039570502,4320.065960429498,是
S001-FOD-02,T012,S001,应急食品,7200.0,2879.934039570502,4320.065960429498,是
S001-FOD-03,T012,S001,应急食品,7200.0,2879.934039570502,4320.065960429498,是
S001-HYG-01,T012,S001,生活卫生用品,10800.0,2879.934039570502,7920.065960429498,是
S001-HYG-02,T012,S001,生活卫生用品,10800.0,2879.934039570502,7920.065960429498,是
S001-WAT-01,T012,S001,饮用水,3600.0,2879.934039570502,720.0659604294979,是
S001-WAT-03,T012,S001,饮用水,3600.0,2879.934039570502,720.0659604294979,是
S001-WAT-05,T012,S001,饮用水,3600.0,2879.934039570502,720.0659604294979,是
S002-FOD-02,T013,S002,应急食品,7200.0,3508.9281401242233,3691.0718598757767,是
S009-WAT-01,T013,S009,饮用水,10800.0,3108.4108368497396,7691.58916315026,是
S003-MED-01,T014,S003,医疗物资,7200.0,3420.165600554299,3779.834399445701,是
S003-WAT-01,T014,S003,饮用水,7200.0,3420.165600554299,3779.834399445701,是
S004-FOD-01,T015,S004,应急食品,10800.0,5058.630384540292,5741.369615459708,是
S004-HYG-01,T015,S004,生活卫生用品,14400.0,5058.630384540292,9341.36961545971,是
S004-WAT-01,T015,S004,饮用水,7200.0,5058.630384540292,2141.3696154597083,是
S004-WAT-02,T015,S004,饮用水,7200.0,5058.630384540292,2141.3696154597083,是
S004-WAT-03,T015,S004,饮用水,7200.0,5058.630384540292,2141.3696154597083,是
S005-HYG-01,T015,S005,生活卫生用品,18000.0,4387.1202189678015,13612.8797810322,是
S005-FOD-01,T016,S005,应急食品,14400.0,4488.272171270299,9911.727828729701,是
S005-WAT-02,T016,S005,饮用水,10800.0,4488.272171270299,6311.727828729701,是
S005-MED-01,T017,S005,医疗物资,10800.0,4546.895658913538,6253.104341086462,是
S005-WAT-03,T017,S005,饮用水,10800.0,4546.895658913538,6253.104341086462,是
S008-MED-01,T017,S008,医疗物资,7200.0,5076.4944551018125,2123.5055448981875,是
S002-HYG-01,T018,S002,生活卫生用品,10800.0,4967.812264961246,5832.187735038754,是
S005-WAT-01,T018,S005,饮用水,10800.0,4411.381452935284,6388.618547064716,是
S015-FOD-01,T019,S015,应急食品,14400.0,4663.223142619452,9736.776857380548,是
S015-MED-01,T019,S015,医疗物资,7200.0,4663.223142619452,2536.776857380548,是
S015-WAT-01,T019,S015,饮用水,10800.0,4663.223142619452,6136.776857380548,是
S003-FOD-01,T020,S003,应急食品,10800.0,5641.627273167219,5158.372726832781,是
S003-WAT-03,T020,S003,饮用水,7200.0,5641.627273167219,1558.3727268327812,是
S003-WAT-02,T021,S003,饮用水,7200.0,5651.653468218965,1548.346531781035,是
S008-FOD-01,T022,S008,应急食品,10800.0,5743.963484066597,5056.036515933403,是
S008-HYG-01,T022,S008,生活卫生用品,14400.0,5743.963484066597,8656.036515933403,是
S008-WAT-01,T022,S008,饮用水,7200.0,5743.963484066597,1456.0365159334033,是
S008-WAT-02,T022,S008,饮用水,7200.0,5743.963484066597,1456.0365159334033,是
S011-FOD-01,T023,S011,应急食品,14400.0,6181.572262076366,8218.427737923634,是
S011-MED-01,T023,S011,医疗物资,10800.0,6181.572262076366,4618.427737923634,是
S011-WAT-01,T023,S011,饮用水,10800.0,6181.572262076366,4618.427737923634,是
