实验组,随机种子,迭代次数,运行时间（s）,停止原因,硬违约数,该次搜索最佳完工时间（s）,能耗（kWh）,架次数
B0 加权目标基线,20260924,318,0.4992611249908805,连续无改进上限,0,8334.029392485472,64.99086594549632,20
B0 加权目标基线,20260925,302,0.3935545409913175,连续无改进上限,0,8334.029392485472,67.78533690549732,21
B0 加权目标基线,20260926,375,0.5009392920037499,连续无改进上限,0,8847.584922830405,66.82725010327398,20
B0 加权目标基线,20260927,406,0.49553979199845344,连续无改进上限,0,7933.458759999992,64.74506931625882,20
B0 加权目标基线,20260928,600,0.7823064580006758,最大迭代数,0,7929.84983297731,65.6128495544561,20
B0 加权目标基线,20260929,546,0.6217431249970105,连续无改进上限,0,7933.458759999992,65.3200499013837,20
B0 加权目标基线,20260930,465,0.5511758750071749,连续无改进上限,0,8000.804804336842,65.43580916928359,21
B0 加权目标基线,20260931,543,0.763049166998826,连续无改进上限,0,7933.458759999992,66.26035644020108,21
B0 加权目标基线,20260932,600,0.7048362079949584,最大迭代数,0,7933.458759999992,64.47465464322744,20
B0 加权目标基线,20260933,600,0.6436364160035737,最大迭代数,0,7933.458759999992,64.99006825588796,20
B1 +字典序完工目标,20260924,406,0.5615200419997564,连续无改进上限,0,7933.458759999992,64.59433417417776,20
B1 +字典序完工目标,20260925,600,0.7626777499972377,最大迭代数,0,7933.458759999992,64.27273878570654,20
B1 +字典序完工目标,20260926,600,0.7745522909972351,最大迭代数,0,7933.458759999992,64.52627676173732,20
B1 +字典序完工目标,20260927,600,0.7067958750121761,最大迭代数,0,7933.458759999992,65.5964206189197,20
B1 +字典序完工目标,20260928,600,0.8531167500041192,最大迭代数,0,7933.458759999992,64.54700019048111,20
B1 +字典序完工目标,20260929,590,0.6876640829868848,连续无改进上限,0,7929.84983297731,65.363621890608,21
B1 +字典序完工目标,20260930,600,0.7042199590068776,最大迭代数,0,7933.458759999992,64.4969701993936,20
B1 +字典序完工目标,20260931,600,0.6757457919884473,最大迭代数,0,7933.458759999992,65.011049930823,20
B1 +字典序完工目标,20260932,305,0.5241352500015637,连续无改进上限,0,8334.029392485472,67.78533690549732,21
B1 +字典序完工目标,20260933,388,0.44996287500543986,连续无改进上限,0,7933.458759999992,66.38550262253442,21
B2 +关键资源链邻域,20260924,415,4.222771875007311,连续无改进上限,0,6957.917020295543,77.67982722522062,25
B2 +关键资源链邻域,20260925,353,2.588049707992468,连续无改进上限,0,6749.884331650986,70.97763774624607,24
B2 +关键资源链邻域,20260926,600,4.409781334004947,最大迭代数,0,6697.349339072649,74.02359606878905,24
B2 +关键资源链邻域,20260927,600,4.843962292012293,最大迭代数,0,6768.12986197597,74.5169847564553,24
B2 +关键资源链邻域,20260928,497,4.399350249994313,连续无改进上限,0,6956.499074836343,77.77457933925824,25
B2 +关键资源链邻域,20260929,600,4.619080542004667,最大迭代数,0,6724.454141175584,72.66806136686297,23
B2 +关键资源链邻域,20260930,366,3.114240916009294,连续无改进上限,0,6768.986200403206,75.05386273019164,26
B2 +关键资源链邻域,20260931,315,2.286267332994612,连续无改进上限,0,6828.12986197597,74.14939665263597,24
B2 +关键资源链邻域,20260932,501,3.720202457989217,连续无改进上限,0,6708.986200403206,72.1402414267946,23
B2 +关键资源链邻域,20260933,333,2.496346625004662,连续无改进上限,0,6828.12986197597,72.51088317239962,24
B3 +Top-K精确复算,20260924,509,6.5292079170030775,连续无改进上限,0,6780.860583286241,72.92600323210786,24
B3 +Top-K精确复算,20260925,600,7.22440941700188,最大迭代数,0,6504.819467083989,71.35170142639014,23
B3 +Top-K精确复算,20260926,600,8.21679504099302,最大迭代数,0,6574.164601236229,72.04301603289234,23
B3 +Top-K精确复算,20260927,571,7.446759541999199,连续无改进上限,0,6506.800558928734,73.84378964107863,24
B3 +Top-K精确复算,20260928,571,7.264240832999349,连续无改进上限,0,6783.818647647647,73.7383308486144,24
B3 +Top-K精确复算,20260929,600,8.336083708010847,最大迭代数,0,6913.547674104509,73.90473146040256,23
B3 +Top-K精确复算,20260930,600,7.876682582995272,最大迭代数,0,6825.818003045729,72.76072849056503,24
B3 +Top-K精确复算,20260931,408,6.407058249998954,连续无改进上限,0,7147.641769598007,77.61916908359701,25
B3 +Top-K精确复算,20260932,600,7.47587220899004,最大迭代数,0,6913.547674104509,75.88128343479585,24
B3 +Top-K精确复算,20260933,600,8.86494975000096,最大迭代数,0,6838.335670856186,76.33095623588422,25
