黑区编号,架次编号,开始时刻_s,结束时刻_s,采样点数
T002-B01-S01,T002,925.0,1225.0,61
T002-B01-S02,T002,1230.0,1530.0,61
T002-B01-S03,T002,1535.0,1650.0,24
T002-B02-S01,T002,1865.0,2165.0,61
T002-B02-S02,T002,2170.0,2285.0,24
T003-B01-S01,T003,2380.0,2680.0,61
T003-B01-S02,T003,2685.0,2985.0,61
T003-B01-S03,T003,2990.0,3290.0,61
T003-B01-S04,T003,3295.0,3320.0,6
T004-B01-S01,T004,760.0,1060.0,61
T004-B01-S02,T004,1065.0,1165.0,21
T005-B01-S01,T005,745.0,1045.0,61
T005-B01-S02,T005,1050.0,1130.0,17
T006-B01-S01,T006,2255.0,2555.0,61
T006-B01-S02,T006,2560.0,2860.0,61
T006-B01-S03,T006,2865.0,3060.0,40
T007-B01-S01,T007,2360.0,2660.0,61
T007-B01-S02,T007,2665.0,2955.0,59
T015-B01-S01,T015,4120.0,4420.0,61
T015-B01-S02,T015,4425.0,4725.0,61
T015-B01-S03,T015,4730.0,4985.0,52
T016-B01-S01,T016,4605.0,4905.0,61
T016-B01-S02,T016,4910.0,5210.0,61
T016-B01-S03,T016,5215.0,5505.0,59
T017-B01-S01,T017,4200.0,4500.0,61
T017-B01-S02,T017,4505.0,4785.0,57
T018-B01-S01,T018,2880.0,3180.0,61
T018-B01-S02,T018,3185.0,3485.0,61
T018-B01-S03,T018,3490.0,3790.0,61
T018-B01-S04,T018,3795.0,3805.0,3
T019-B01-S01,T019,6305.0,6605.0,61
T019-B01-S02,T019,6610.0,6910.0,61
T019-B01-S03,T019,6915.0,7215.0,61
T019-B01-S04,T019,7220.0,7345.0,26
T020-B01-S01,T020,4130.0,4430.0,61
T020-B01-S02,T020,4435.0,4735.0,61
T020-B01-S03,T020,4740.0,4870.0,27
T025-B01-S01,T025,6020.0,6320.0,61
T025-B01-S02,T025,6325.0,6540.0,44
T026-B01-S01,T026,7030.0,7330.0,61
T026-B01-S02,T026,7335.0,7555.0,45
