架次编号,时刻_s,经度,纬度,飞行海拔_m,阶段
T001,510.0,109.2308517,23.0085095,127.7,爬升
T001,515.0,109.2308517,23.0085095,140.2,爬升
T001,520.0,109.2308517,23.0085095,152.7,爬升
T001,525.0,109.2308517,23.0085095,165.2,爬升
T001,530.0,109.2308517,23.0085095,177.7,爬升
T001,535.0,109.2308517,23.0085095,190.2,爬升
T001,540.0,109.2308517,23.0085095,202.7,爬升
T001,545.0,109.2308517,23.0085095,215.20000000000002,爬升
T001,550.0,109.2308517,23.0085095,227.7,爬升
T001,555.0,109.2308517,23.0085095,240.2,爬升
T001,560.0,109.2308517,23.0085095,252.7,爬升
T001,565.0,109.2308517,23.0085095,265.2,爬升
T001,570.0,109.2309642923151,23.008737620350054,273.0566101074219,巡航
T001,575.0,109.23126739069174,23.009351720057744,273.0566101074219,巡航
T001,580.0,109.23157048906839,23.00996581976543,273.0566101074219,巡航
T001,585.0,109.23187358744502,23.010579919473116,273.0566101074219,巡航
T001,590.0,109.23217668582167,23.011194019180806,273.0566101074219,巡航
T001,595.0,109.23247978419832,23.011808118888492,273.0566101074219,巡航
T001,600.0,109.23278288257497,23.01242221859618,273.0566101074219,巡航
T001,605.0,109.23308598095161,23.013036318303868,273.0566101074219,巡航
T001,610.0,109.23338907932826,23.013650418011554,273.0566101074219,巡航
T001,615.0,109.23369217770491,23.01426451771924,273.0566101074219,巡航
T001,620.0,109.23399527608156,23.01487861742693,273.0566101074219,巡航
T001,625.0,109.2342983744582,23.015492717134617,273.0566101074219,巡航
T001,630.0,109.23460147283485,23.016106816842303,273.0566101074219,巡航
T001,635.0,109.2349045712115,23.016720916549993,273.0566101074219,巡航
T001,640.0,109.23520766958815,23.01733501625768,273.0566101074219,巡航
T001,645.0,109.2355107679648,23.017949115965365,273.0566101074219,巡航
T001,650.0,109.23581386634143,23.01856321567305,273.0566101074219,巡航
T001,655.0,109.23611696471808,23.01917731538074,273.0566101074219,巡航
T001,660.0,109.23642006309473,23.019791415088427,273.0566101074219,巡航
T001,665.0,109.23672316147137,23.020405514796114,273.0566101074219,巡航
T001,670.0,109.23702625984802,23.021019614503803,273.0566101074219,巡航
T001,675.0,109.23732935822467,23.02163371421149,273.0566101074219,巡航
T001,680.0,109.23763245660132,23.022247813919176,273.0566101074219,巡航
T001,685.0,109.23793555497797,23.022861913626866,273.0566101074219,巡航
T001,690.0,109.23823865335461,23.02347601333455,273.0566101074219,巡航
T001,695.0,109.23854175173126,23.024090113042238,273.0566101074219,巡航
T001,700.0,109.23884485010791,23.024704212749928,273.0566101074219,巡航
T001,705.0,109.23914794848456,23.025318312457614,273.0566101074219,巡航
T001,710.0,109.2394510468612,23.0259324121653,273.0566101074219,巡航
T001,715.0,109.23975414523785,23.02654651187299,273.0566101074219,巡航
T001,720.0,109.24005724361449,23.027160611580676,273.0566101074219,巡航
T001,725.0,109.24036034199113,23.027774711288362,273.0566101074219,巡航
T001,730.0,109.24066344036778,23.02838881099605,273.0566101074219,巡航
T001,735.0,109.24096653874443,23.02900291070374,273.0566101074219,巡航
T001,740.0,109.24126963712108,23.029617010411425,273.0566101074219,巡航
T001,745.0,109.24157273549773,23.03023111011911,273.0566101074219,巡航
T001,750.0,109.24187583387437,23.0308452098268,273.0566101074219,巡航
T001,755.0,109.24217893225102,23.031459309534487,273.0566101074219,巡航
T001,760.0,109.24248203062767,23.032073409242173,273.0566101074219,巡航
T001,765.0,109.24278512900432,23.032687508949863,273.0566101074219,巡航
T001,770.0,109.24308822738097,23.03330160865755,273.0566101074219,巡航
T001,775.0,109.2432319,23.0335927,267.79674169854684,下降
T001,780.0,109.2432319,23.0335927,257.79674169854684,下降
T001,785.0,109.2432319,23.0335927,247.79674169854684,下降
T001,790.0,109.2432319,23.0335927,237.79674169854684,下降
T001,795.0,109.2432319,23.0335927,227.79674169854684,下降
T001,800.0,109.2432319,23.0335927,217.79674169854684,下降
T001,805.0,109.2432319,23.0335927,207.79674169854684,下降
T001,810.0,109.2432319,23.0335927,197.79674169854684,下降
T001,815.0,109.2432319,23.0335927,187.79674169854684,下降
T001,820.0,109.2432319,23.0335927,184.0,投送
T001,825.0,109.2432319,23.0335927,184.0,投送
T001,830.0,109.2432319,23.0335927,184.0,投送
T001,835.0,109.2432319,23.0335927,184.0,投送
T001,840.0,109.2432319,23.0335927,184.0,投送
T001,845.0,109.2432319,23.0335927,184.0,投送
T001,850.0,109.2432319,23.0335927,184.0,投送
T001,855.0,109.2432319,23.0335927,184.0,投送
T001,860.0,109.2432319,23.0335927,184.0,投送
T001,865.0,109.2432319,23.0335927,184.0,投送
T001,870.0,109.2432319,23.0335927,184.0,投送
T001,875.0,109.2432319,23.0335927,184.0,投送
T001,880.0,109.2432319,23.0335927,184.0,投送
T001,885.0,109.2432319,23.0335927,184.0,投送
T001,890.0,109.2432319,23.0335927,184.0,投送
T001,895.0,109.2432319,23.0335927,184.0,投送
T001,900.0,109.2432319,23.0335927,184.0,投送
T001,905.0,109.2432319,23.0335927,184.0,投送
T001,910.0,109.2432319,23.0335927,184.0,投送
T001,915.0,109.2432319,23.0335927,184.0,投送
T001,920.0,109.2432319,23.0335927,184.0,投送
T001,925.0,109.2432319,23.0335927,184.0,投送
T001,930.0,109.2432319,23.0335927,184.0,投送
T001,935.0,109.2432319,23.0335927,184.0,投送
T001,940.0,109.2432319,23.0335927,184.0,投送
T001,945.0,109.2432319,23.0335927,184.0,投送
T001,950.0,109.2432319,23.0335927,184.0,投送
T001,955.0,109.2432319,23.0335927,184.0,投送
T001,960.0,109.2432319,23.0335927,184.0,投送
T001,965.0,109.2432319,23.0335927,184.0,投送
T001,970.0,109.2432319,23.0335927,184.0,投送
T001,975.0,109.2432319,23.0335927,184.0,投送
T001,980.0,109.2432319,23.0335927,184.0,投送
T001,985.0,109.2432319,23.0335927,184.0,投送
T001,990.0,109.2432319,23.0335927,184.0,投送
T001,995.0,109.2432319,23.0335927,184.0,投送
T001,1000.0,109.2432319,23.0335927,184.0,投送
T001,1005.0,109.2432319,23.0335927,184.0,投送
T001,1010.0,109.2432319,23.0335927,184.0,投送
T001,1015.0,109.2432319,23.0335927,184.0,投送
T001,1020.0,109.2432319,23.0335927,184.0,投送
T001,1025.0,109.2432319,23.0335927,184.0,投送
T001,1030.0,109.2432319,23.0335927,184.0,投送
T001,1035.0,109.2432319,23.0335927,184.0,投送
T001,1040.0,109.2432319,23.0335927,184.0,投送
T001,1045.0,109.2432319,23.0335927,184.0,投送
T001,1050.0,109.2432319,23.0335927,184.0,投送
T001,1055.0,109.2432319,23.0335927,184.0,投送
T001,1060.0,109.2432319,23.0335927,184.0,投送
T001,1065.0,109.2432319,23.0335927,184.0,投送
T001,1070.0,109.2432319,23.0335927,184.0,投送
T001,1075.0,109.2432319,23.0335927,184.0,投送
T001,1080.0,109.2432319,23.0335927,184.0,投送
T001,1085.0,109.2432319,23.0335927,184.0,投送
T001,1090.0,109.2432319,23.0335927,184.0,投送
T001,1095.0,109.2432319,23.0335927,184.0,投送
T001,1100.0,109.2432319,23.0335927,184.0,投送
T001,1105.0,109.2432319,23.0335927,184.0,投送
